Year,Investment,Annual_Savings,Maintenance,Net_Cash_Flow,Discounted_Cash_Flow,Cumulative_Savings
0,-298100.0,0.0,0.0,-298100.0,-298100.0,-298100.0
1,0.0,0.0,5962.0,-5962.0,-5678.095238095238,-303778.09523809527
2,0.0,0.0,5962.0,-5962.0,-5407.7097505668935,-309185.80498866213
3,0.0,0.0,5962.0,-5962.0,-5150.199762444659,-314336.0047511068
4,0.0,0.0,5962.0,-5962.0,-4904.952154709199,-319240.956905816
5,0.0,0.0,5962.0,-5962.0,-4671.383004484951,-323912.3399103009
6,0.0,0.0,5962.0,-5962.0,-4448.936194747573,-328361.27610504854
7,0.0,0.0,5962.0,-5962.0,-4237.082090235784,-332598.3581952843
8,0.0,0.0,5962.0,-5962.0,-4035.3162764150316,-336633.67447169934
9,0.0,0.0,5962.0,-5962.0,-3843.158358490506,-340476.83283018984
10,0.0,0.0,5962.0,-5962.0,-3660.150817610006,-344136.9836477998
